Name,Country,Discipline,Event
PEDRERO Ofelia,Mexico,Artistic Swimming,Team
RADHI SHENAISHIL,Iraq,Football,Men
AFLAKIKHAMSEH Majid,IR Iran,Taekwondo,
YOUSEFY Mehrdad,IR Iran,Taekwondo,
MADDAH Minoo,IR Iran,Taekwondo,
LOFTUS Adriana,Mexico,Artistic Swimming,Team
FERRARA Fernando,Argentina,Hockey,
GULLA Alejandra,Argentina,Hockey,Women
CAPURRO Santiago,Argentina,Hockey,
RONCONI Mariano,Argentina,Hockey,
PAULON Ezequiel,Argentina,Hockey,
VILA Matias,Argentina,Hockey,
KHEIRKHAH HAJIRASOULIAN Mohammadre.,IR Iran,Artistic Gymnastics,
DAVIS DIAZ David,Mexico,Taekwondo,
MENDOZA MORA Abel,Mexico,Taekwondo,
VICTORIA ESPINOSA de los Alfonso,Mexico,Taekwondo,
MILANO Guillermo,Argentina,Handball,Men
GOMEZ CORA Santiago,Argentina,Rugby Sevens,Men
GRAVANO Leonardo,Argentina,Rugby Sevens,Men
FILIORIANU Ana Luiza,Romania,Rhythmic Gymnastics,
SMAILI Badr,Morocco,Taekwondo,
OCEGUERA ORNELAS Pavel,Mexico,Artistic Gymnastics,
VALENZUELA GOMEZ Maria,Mexico,Artistic Gymnastics,
MEZA PADILLA Jose,Mexico,Artistic Gymnastics,
AGUILAR ROJAS Blajaith,Mexico,Rhythmic Gymnastics,
FURALEV Vladislav,Mexico,Rhythmic Gymnastics,
UPTON Patrick Anthony Howard,India,Hockey,
SCHOPMAN Johanna Dorothea Maria,India,Hockey,
HALKETT Rhett Kennedy,India,Hockey,
FULTON Craig Arthur,India,Hockey,
FARRY Anthony James,India,Hockey,
THORPE Karen,Great Britain,Artistic Swimming,Duet
TOMOMATSU Yumiko,Great Britain,Artistic Swimming,Duet
CURRAN Orlaith,Ireland,Rugby Sevens,Women
NASKAR Arup,India,Hockey,
CHINNASAMY Ashok Kumar,India,Hockey,
BUSNARI Alberto,Italy,Artistic Gymnastics,
COCCIARO Giuseppe,Italy,Artistic Gymnastics,
FORTUNA Marco,Italy,Artistic Gymnastics,
BERGAMELLI Monica Roberta,Italy,Artistic Gymnastics,
CHIRILCENCO Marc Michel,Algeria,Artistic Gymnastics,
HAMICI Saad Eddine,Algeria,Artistic Gymnastics,
